_uuid,submissiontime,caste,GPS,_gps_latitude,_gps_longitude,gender,age,ownership,property_type,education,occupation,issue_ranking1,issue_ranking2,issue_ranking3,issue_ranking4,issue_ranking5,issue_ranking6,tol,ward
24,2014-06-14T20:39:31,,27.69469 85.36261 0 0,27.69469,85.36261,male,56+,owner,built,never_studied,business,Water,Power,Garbage,Security,Road,Sewage,tol_name_shanti,ward_6
25,2014-06-15T16:26:20,,27.7273 85.35655 0 0,27.7273,85.35655,female,56+,renter,,never_studied,business,Water,Power,Security,Road,Sewage,Garbage,tol_name_shanti,ward_6
26,2014-06-11T18:42:10,,27.72773 85.35672 0 0,27.72773,85.35672,male,46+,renter,,slc,business,Power,NA,Garbage,Sewage,Road,Security,tol_name_shanti,ward_6
27,2014-06-11T18:42:17,,27.72716 85.35619 0 0,27.72716,85.35619,male,46+,renter,,never_studied,business,Power,Water,Garbage,Road,Sewage,Security,tol_name_shanti,ward_6
28,2014-06-11T18:42:20,,27.725 85.3557 0 0,27.725,85.3557,male,46+,renter,,plus_two,business,Power,Garbage,Water,Security,Sewage,Road,tol_name_shanti,ward_6
29,2014-06-11T18:42:23,,27.72733 85.35698 0 0,27.72733,85.35698,male,46+,renter,,slc,business,Power,Garbage,Road,Water,Security,Sewage,tol_name_shanti,ward_6
30,2014-06-15T16:02:18,,27.74154 85.34323 0 0,27.74154,85.34323,male,46+,renter,,plus_two,business,Power,Water,Sewage,Road,Garbage,Security,tol_name_shanti,ward_6
31,2014-06-11T20:38:54,,27.72611 85.35443 0 0,27.72611,85.35443,male,46+,owner,built,slc,business,Power,Garbage,Water,Sewage,NA,Security,tol_name_shanti,ward_6
32,2014-06-11T21:15:43,,27.72255 85.34905 0 0,27.72255,85.34905,male,46+,owner,built,studied_some,business,Water,Power,Garbage,Road,Sewage,Security,tol_name_saraswati,ward_6
33,2014-06-15T15:31:14,,27.72255 85.34905 0 0,27.72255,85.34905,male,46+,renter,,slc,business,Water,Power,Garbage,Road,Sewage,Security,tol_name_shanti,ward_6
34,2014-06-15T15:08:03,,,,,male,46+,renter,,studied_some,business,Power,Security,Road,Sewage,Garbage,Water,tol_name_saraswati,ward_6
35,2014-06-15T13:54:00,,27.7241 85.28736 0 0 ,27.7241,85.28736,female,46+,owner,,slc,business,NA,NA,NA,NA,NA,NA,tol_name_shanti,ward_6
36,2014-06-13T22:56:16,,27.72609 85.35447 0 0,27.72609,85.35447,female,46+,owner,ancestral,never_studied,business,Garbage,Power,Security,Sewage,Water,Road,tol_name_shanti,ward_6
37,2014-06-14T18:46:20,,27.68739 85.39318 0 0,27.72609,85.35447,female,36+,renter,,never_studied,business,Road,Power,Security,Garbage,Sewage,Water,tol_name_shanti,ward_6
38,2014-06-15T15:31:16,,27.72613 85.35475 0 0,27.72613,85.35475,male,36+,owner,built,plus_two,business,Power,Water,Road,Sewage,Garbage,Security,tol_name_saraswati,ward_6
39,2014-06-15T15:31:18,,27.72839 85.36585 0 0,27.72839,85.36585,male,36+,renter,,slc,business,Water,Power,Road,Sewage,Security,Garbage,tol_name_saraswati,ward_6
40,2014-06-15T16:02:33,,27.72315 85.35061 0 0,27.72315,85.35061,male,36+,renter,,studied_some,business,Garbage,Power,Water,Road,Sewage,Security,tol_name_saraswati,ward_6
41,2014-06-15T15:31:19,,27.74147 85.34299 0 0,27.74147,85.34299,female,36+,owner,built,slc,business,Garbage,Power,Water,Sewage,Road,Security,tol_name_shanti,ward_6
42,2014-06-15T16:53:27,,27.74147 85.34265 0 0,27.74147,85.34265,male,36+,owner,built,studied_some,business,Power,Garbage,Water,Sewage,Security,Road,tol_name_shanti,ward_6
43,2014-06-15T15:31:21,,27.67664 85.28354 0 0,27.7229,85.35085,male,36+,renter,,studied_some,business,Power,Water,Sewage,Garbage,Road,Security,tol_name_shanti,ward_6
44,2014-06-15T15:07:58,,27.7229 85.35085 0 0,27.7229,85.35085,male,36+,renter,,slc,business,Water,Power,Garbage,Sewage,Security,Road,tol_name_saraswati,ward_6
45,2014-06-12T07:55:34,,27.72387 85.3502 0 0,27.72387,85.3502,female,36+,renter,,slc,business,Water,Power,Garbage,Road,Sewage,Security,tol_name_saraswati,ward_6
46,2014-06-15T16:26:15,,27.69098 85.30783 0 0,27.72387,85.3502,male,36+,owner,built,studied_some,business,Water,Power,NA,Sewage,Security,Road,tol_name_shanti,ward_6
47,2014-06-15T15:31:23,,27.72304 85.34999 0 0,27.72304,85.34999,female,36+,renter,,masters,business,Power,Water,Sewage,Garbage,Road,Security,tol_name_saraswati,ward_6
48,2014-06-12T08:35:51,,27.72573 85.35475 0 0,27.72573,85.35475,male,36+,owner,built,bachelors,business,Security,Power,Water,Road,Sewage,Garbage,tol_name_saraswati,ward_6
49,2014-06-15T15:31:24,,27.72586 85.35027 0 0,27.72586,85.35027,female,36+,renter,,slc,business,Power,Garbage,Security,Road,Sewage,Water,tol_name_saraswati,ward_6
50,2014-06-13T23:09:50,,27.72255 85.34915 0 0,27.72255,85.34915,male,36+,owner,built,slc,business,Water,Power,Garbage,Road,Sewage,Security,tol_name_saraswati,ward_6
51,2014-06-15T15:31:26,,27.72592 85.3565 0 0,27.72592,85.3565,male,36+,renter,,slc,business,Power,Sewage,Security,Road,Water,Garbage,tol_name_shanti,ward_6
52,2014-06-15T15:31:28,,27.724 85.35656 0 0,27.724,85.35656,female,36+,renter,,studied_some,business,Water,Power,Sewage,Garbage,Road,Security,tol_name_shanti,ward_6
53,2014-06-15T15:31:29,,27.72273 85.35573 0 0,27.72273,85.35573,female,36+,renter,,studied_some,business,Water,Power,Garbage,Road,Sewage,Security,tol_name_shanti,ward_6
54,2014-06-15T16:26:27,,27.71965 85.31998 0 0,27.71965,85.31998,male,36+,renter,,slc,business,Water,Power,Road,Garbage,Sewage,Security,tol_name_shanti,ward_6
55,2014-06-12T09:58:53,,27.72303 85.3499 0 0,27.72303,85.3499,female,26+,renter,,slc,business,Power,Water,Sewage,Garbage,Road,Security,tol_name_saraswati,ward_6
56,2014-06-12T10:02:14,,27.72617 85.35796 0 0,27.72617,85.35796,male,26+,renter,,bachelors,business,Water,Sewage,Power,Security,Garbage,Road,tol_name_shanti,ward_6
57,2014-06-15T13:24:43,,27.72638 85.35576 0 0,27.72638,85.35576,female,26+,renter,,bachelors,business,Water,Power,Sewage,Garbage,Road,Security,tol_name_saraswati,ward_6
58,2014-06-15T13:24:44,,27.7233 85.35041 0 0,27.7233,85.35041,male,26+,owner,built,bachelors,business,Water,Garbage,Road,Sewage,Security,Power,tol_name_saraswati,ward_6
59,2014-06-15T13:24:46,,27.72571 85.35487 0 0,27.72571,85.35487,male,26+,renter,,slc,business,Water,Power,Sewage,Road,Garbage,Security,tol_name_saraswati,ward_6
60,2014-06-15T13:24:47,,27.70652 85.33935 0 0,27.70652,85.33935,female,26+,owner,built,plus_two,business,Water,Garbage,Power,Sewage,Security,Road,tol_name_shanti,ward_6
61,2014-06-15T13:24:49,,27.67664 85.28354 0 0,27.70652,85.33935,female,26+,renter,,never_studied,business,Power,Water,Garbage,Sewage,Road,Security,tol_name_shanti,ward_6
62,2014-06-15T13:24:50,,27.72706 85.35474 0 0,27.72706,85.35474,male,26+,owner,built,plus_two,business,Power,Water,Garbage,Sewage,Road,Security,tol_name_saraswati,ward_6
63,2014-06-15T13:24:52,,27.72515 85.35419 0 0,27.72515,85.35419,male,26+,renter,Don't Know/Can't Say,business,Water,Security,Sewage,Road,Garbage,Power,tol_name_saraswati,ward_6,
64,2014-06-15T13:24:53,,27.72612 85.35484 0 0,27.72612,85.35484,female,26+,renter,,never_studied,business,Power,Water,Garbage,Road,Sewage,Security,tol_name_saraswati,ward_6
65,2014-06-15T13:24:55,,27.72005 85.35484 0 0,27.72005,85.35712,male,26+,owner,built,studied_some,business,Water,Power,Garbage,Road,Sewage,Security,tol_name_shanti,ward_6
66,2014-06-15T13:24:56,,27.72419 85.3568 0 0,27.72419,85.3568,male,26+,renter,,bachelors,business,Water,Power,Sewage,Garbage,Road,Security,tol_name_shanti,ward_6
67,2014-06-14T20:39:19,,27.72594 85.35519 0 0,27.72594,85.35519,female,26+,renter,,studied_some,business,Power,Water,Road,Sewage,Security,Garbage,tol_name_saraswati,ward_6
68,2014-06-12T10:25:10,,27.72608 85.35446 0 0,27.72608,85.35446,male,26+,renter,Don't Know/Can't Say,business,Garbage,Water,Road,Sewage,Power,Security,tol_name_shanti,ward_6,
69,2014-06-12T10:25:12,,27.72573 85.35475 0 0,27.72573,85.35475,female,26+,renter,,plus_two,business,Water,Garbage,Power,Sewage,Road,Security,tol_name_saraswati,ward_6
70,2014-06-12T10:42:17,,27.72669 85.3522 0 0,27.72669,85.3522,male,18+,renter,,slc,business,Power,Water,Garbage,Security,Road,Sewage,tol_name_saraswati,ward_6
71,2014-06-12T10:42:20,,27.72703 85.35775 0 0,27.72703,85.35775,male,18+,renter,,plus_two,business,Power,Garbage,Water,Road,Sewage,Security,tol_name_shanti,ward_6
72,2014-06-15T15:07:59,,27.72667 85.35443 0 0,27.72667,85.35443,male,18+,owner,built,plus_two,business,Power,Sewage,Road,Garbage,Security,Water,tol_name_saraswati,ward_6
73,2014-06-15T16:48:03,,27.72667 85.35443 0 0,27.72667,85.35443,male,18+,renter,,plus_two,business,Water,Power,Road,Garbage,Security,Sewage,tol_name_saraswati,ward_6
74,2014-06-15T16:02:25,,27.70912 85.336 0 0,27.70912,85.336,male,18+,renter,,bachelors,business,Water,Power,Garbage,Sewage,Road,Security,tol_name_rudra,ward_33
75,2014-06-15T16:02:21,,27.72618 85.35594 0 0,27.72618,85.35594,male,18+,owner,ancestral,bachelors,business,Water,Power,NA,NA,Sewage,NA,tol_name_saraswati,ward_6
76,2014-06-12T10:49:02,,27.72575 85.35507 0 0,27.72575,85.35507,male,26+,owner,,slc,student,Power,Sewage,Water,Garbage,Road,Security,tol_name_saraswati,ward_6
77,2014-06-12T10:56:25,,27.65871 85.30783 0 0,27.72575,85.25507,male,26+,ownerDon't Know/Can't Say,bachelors,student,Garbage,Water,Power,Road,Sewage,Security,tol_name_shanti,ward_6,
78,2014-06-15T16:02:26,,27.72236 85.35125 0 0,27.72236,85.35125,male,26+,renter,,plus_two,student,Power,Water,Sewage,Garbage,Security,Road,tol_name_saraswati,ward_6
79,2014-06-15T13:53:57,,27.72744 85.36196 0 0,27.72744,85.36196,male,26+,renter,,masters,student,Power,Garbage,Road,Water,Sewage,Security,tol_name_saraswati,ward_6
80,2014-06-15T16:02:28,,27.72667 85.35443 0 0,27.72667,85.35443,male,26+,owner,ancestral,bachelors,student,Sewage,Security,Road,Power,Garbage,Water,tol_name_saraswati,ward_6
81,2014-06-12T11:25:51,,27.68381 85.27544 0 0,27.72667,85.35443,female,18+,renter,,plus_two,student,Sewage,Garbage,Road,Power,Security,Water,tol_name_shanti,ward_6
82,2014-06-15T16:02:29,,27.72631 85.35425 0 0,27.72631,85.35425,female,18+,renter,,slc,student,Power,Garbage,Sewage,Security,Road,Water,tol_name_saraswati,ward_6
83,2014-06-15T16:52:49,,27.72584 85.35424 0 0,27.72584,85.35424,male,18+,renter,,plus_two,student,Security,Water,Power,NA,NA,NA,tol_name_shanti,ward_6
84,2014-06-14T19:27:44,,27.72123 85.35014 0 0,27.72123,85.35014,male,18+,renter,,plus_two,student,NA,NA,NA,NA,Water,NA,tol_name_saraswati,ward_6
85,2014-06-15T14:51:39,,27.72315 85.35102 0 0,27.72315,85.35102,male,18+,owner,built,bachelors,student,Power,Garbage,Road,Water,Security,Sewage,tol_name_saraswati,ward_6
86,2014-06-15T16:02:35,,27.72384 85.35031 0 0,27.72384,85.35031,female,18+,owner,built,bachelors,student,Power,Garbage,Security,Water,Road,Sewage,tol_name_saraswati,ward_6
87,2014-06-15T16:26:21,,27.72569 85.35452 0 0,27.72569,85.35452,male,18+,renter,,bachelors,student,Water,Road,Power,Security,Garbage,Sewage,tol_name_saraswati,ward_6
88,2014-06-14T20:38:49,,27.7258 85.35435 0 0,27.7258,85.35435,female,18+,renter,,plus_two,student,Road,Security,Water,Power,Sewage,Garbage,tol_name_saraswati,ward_6
89,2014-06-15T16:02:37,,27.72744 85.36196 0 0,27.72744,85.36196,male,18+,renter,,plus_two,student,Garbage,Security,Water,Power,Road,Sewage,tol_name_saraswati,ward_6
90,2014-06-15T14:27:04,,27.72536 85.35219 0 0,27.72536,85.35219,male,18+,renter,,bachelors,student,Water,Power,Sewage,Garbage,Security,Road,tol_name_saraswati,ward_6
91,2014-06-12T13:42:28,,27.74154 85.34333 0 0,27.74154,85.34333,female,18+,renter,,plus_two,student,Water,Road,Garbage,Power,Sewage,Security,tol_name_shanti,ward_6
92,2014-06-12T13:48:46,,27.74151 85.34323 0 0,27.74151,85.34323,female,18+,renter,,plus_two,student,Power,Garbage,Water,Security,Sewage,Road,tol_name_shanti,ward_6
93,2014-06-12T13:52:22,,27.72515 85.35419 0 0,27.72515,85.35419,male,18+,owner,ancestral,bachelors,student,Water,Power,Road,Sewage,Security,Garbage,tol_name_saraswati,ward_6
94,2014-06-12T13:55:15,,27.72337 85.35174 0 0,27.72337,85.35174,female,18+,renter,,bachelors,student,Garbage,Water,NA,NA,NA,NA,tol_name_saraswati,ward_6
95,2014-06-15T16:26:11,,27.72608 85.35446 0 0,27.72608,85.35446,female,18+,owner,built,masters,student,Security,Garbage,Sewage,Water,Power,Road,tol_name_saraswati,ward_6
96,2014-06-15T16:53:19,,27.74148 85.34265 0 0,27.74148,85.34265,male,18+,renter,,plus_two,student,Road,Garbage,Security,Water,Power,Sewage,tol_name_shanti,ward_6
97,2014-06-15T16:26:12,,27.72498 85.35378 0 0,27.72498,85.35378,female,18+,owner,ancestral,bachelors,student,Garbage,Power,Sewage,Road,Security,Water,tol_name_saraswati,ward_7
98,2014-06-15T16:26:14,,,,,female,18+,owner,ancestral,plus_two,student,Road,Water,Garbage,Power,Sewage,Security,tol_name_shanti,ward_6
99,2014-06-14T19:38:09,,27.72744 85.36196 0 0,27.72744,85.36196,female,18+,owner,ancestral,masters,student,Garbage,Power,Water,Sewage,Road,Security,tol_name_saraswati,ward_6
100,2014-06-11T13:18:32,,27.72544 85.35425 0 0,27.72544,85.35425,male,18+,renter,,bachelors,student,NA,NA,NA,Water,Road,Power,tol_name_saraswati,ward_6
101,2014-06-11T13:18:34,,27.72328 85.35078 0 0,27.72328,85.35078,male,18+,owner,,bachelors,student,Garbage,Road,Security,Water,Sewage,Power,tol_name_saraswati,ward_6
102,2014-06-11T13:18:47,,,,,female,18+,renter,,plus_two,student,Water,Power,Garbage,Sewage,Security,Road,tol_name_shanti,ward_6
103,2014-06-11T13:18:51,,27.72352 85.35082 0 0,27.72352,85.35082,female,18+,renter,,slc,student,Power,Water,Garbage,Sewage,Security,Road,tol_name_saraswati,ward_6
104,2014-06-11T13:18:51,,27.72706 85.33474 0 0,27.72706,85.33474,male,18+,owner,built,bachelors,student,NA,NA,NA,NA,NA,NA,tol_name_saraswati,ward_6
105,2014-06-11T13:18:55,,27.72353 27.72353 0 0,27.72353,27.35045,male,18+,renter,,bachelors,student,Water,Road,Power,Sewage,Security,Garbage,tol_name_saraswati,ward_6
106,2014-06-11T13:19:16,,27.71385 85.33656 0 0,27.71385,85.33656,male,18+,renter,,slc,student,Power,Road,Sewage,Garbage,Water,Security,tol_name_saraswati,ward_6
107,2014-06-11T13:19:18,,27.72776 85.35378 0 0,27.72776,85.35378,male,18+,renter,,slc,student,NA,NA,NA,NA,NA,NA,tol_name_saraswati,ward_6
108,2014-06-14T19:38:13,,27.72515 85.35419 0 0,27.72515,85.35419,male,18+,renter,,plus_two,student,Security,Power,Road,Garbage,Water,Sewage,tol_name_saraswati,ward_6
109,2014-06-11T13:29:07,,27.66613 85.4253 0 0,27.72515,85.35419,male,18+,renter,,plus_two,student,Power,Road,Water,Garbage,Sewage,Security,tol_name_shanti,ward_6
110,2014-06-15T13:53:49,,27.7229 85.35085 0 0,27.7229,85.35085,male,18+,renter,,plus_two,student,Power,Water,Garbage,Sewage,Security,Road,tol_name_saraswati,ward_6
111,2014-06-11T13:50:52,,27.72255 85.34915 0 0,27.72255,85.34915,female,18+,owner,built,plus_two,student,Power,Water,Garbage,Road,Sewage,Security,tol_name_saraswati,ward_6
112,2014-06-14T19:38:15,,27.72833 85.35743 0 0,27.72833,85.35743,male,18+,renter,,plus_two,student,Security,Sewage,Power,Road,Garbage,Water,tol_name_shanti,ward_6
113,2014-06-15T13:53:50,,27.70173 85.30785 0 0,27.70173,85.30785,male,18+,owner,built,bachelors,student,Power,Garbage,Road,Water,Sewage,Security,tol_name_shanti,ward_6
114,2014-06-11T14:11:13,,27.723 85.28613 0 0,27.70173,85.30785,female,18+,owner,ancestral,bachelors,student,Power,Water,Road,Garbage,Sewage,Security,tol_name_shanti,ward_6
115,2014-06-14T19:38:17,,27.72458 85.35468 0 0,27.72458,85.35468,male,18+,renter,,plus_two,student,Sewage,Garbage,Security,Road,Water,Power,tol_name_shanti,ward_6
116,2014-06-15T13:53:52,,27.72547 85.35423 0 0,27.72547,85.35423,female,18+,owner,built,bachelors,student,Power,Garbage,Road,Security,Sewage,Water,tol_name_saraswati,ward_6
117,2014-06-15T16:26:17,,27.72212 85.35332 0 0,27.72212,85.35332,male,18+,renter,,plus_two,student,Power,Water,Garbage,Sewage,Road,Security,tol_name_shanti,ward_7
118,2014-06-14T19:38:19,,27.69469 85.36261 0 0,27.73366,85.36261,male,18+,owner,built,plus_two,student,Power,Water,Garbage,Road,Sewage,Security,tol_name_shanti,ward_6
119,2014-06-15T13:53:54,,27.72515 85.35419 0 0,27.72515,85.35419,male,18+,owner,built,plus_two,student,Power,Road,Sewage,Security,Garbage,Water,tol_name_saraswati,ward_6
120,2014-06-11T14:14:29,,27.72667 85.35113 0 0,27.72667,85.35113,female,18+,renter,,bachelors,student,Water,Power,Garbage,Road,Sewage,Security,tol_name_saraswati,ward_6
121,2014-06-13T18:41:50,,27.73051 85.355675 0 0,27.72741,85.35675,male,18+,owner,built,bachelors,student,NA,NA,Garbage,Power,NA,Sewage,tol_name_saraswati,ward_6
122,2014-06-13T18:41:53,,27.72412 85.35675 0 0,27.72412,85.35675,male,18+,renter,,masters,student,Security,Water,Power,Garbage,Road,Sewage,tol_name_shanti,ward_6
123,2014-06-13T18:41:58,,27.72422 85.35401 0 0,27.72422,85.35401,male,18+,renter,,slc,student,Road,Security,Sewage,Power,Water,Garbage,tol_name_saraswati,ward_6
124,2014-06-14T20:39:35,,27.72638 85.36196 0 0,27.72638,85.36196,male,18+,renter,,bachelors,student,Power,Garbage,Sewage,Security,Road,Water,tol_name_saraswati,ward_6
125,2014-06-13T19:17:00,,27.68752 85.32839 0 0,27.72638,85.36196,male,18+,renter,,plus_two,student,NA,NA,NA,NA,NA,NA,tol_name_rudra,ward_33
126,2014-06-13T19:17:07,,27.72415 85.35213 0 0,27.72415,85.35213,male,18+,renter,,plus_two,student,Sewage,NA,NA,NA,Power,Road,tol_name_saraswati,ward_6
127,2014-06-13T19:17:12,,27.72669 85.3522 0 0,27.72669,85.3522,male,18+,owner,built,bachelors,student,Water,Power,Garbage,Road,Sewage,Security,tol_name_saraswati,ward_6
128,2014-06-13T19:17:16,,27.64077 85.29163 0 0,27.72712,85.35613,male,46+,owner,,masters,professional,Security,Power,Water,Garbage,Road,Sewage,tol_name_shanti,ward_6
129,2014-06-13T19:17:21,,27.72638 85.35516 0 0,27.72638,85.35516,male,36+,renter,,masters,professional,Water,Power,Sewage,Garbage,Road,Security,tol_name_saraswati,ward_6
130,2014-06-15T14:51:45,,27.72292 85.35063 0 0,27.72292,85.35063,male,36+,owner,,masters,professional,Power,Water,Security,Sewage,Road,Garbage,tol_name_saraswati,ward_6
131,2014-06-15T13:53:59,,27.63807 85.35589 0 0,27.7269,85.35589,female,56+,renter,,never_studied,homemaker,Garbage,Water,Power,Security,Sewage,Road,tol_name_shanti,ward_6
132,2014-06-13T19:34:43,,27.72289 85.28601 0 0,27.72289,85.28601,female,46+,owner,built,slc,homemaker,Water,Garbage,Power,Security,Sewage,Road,tol_name_shanti,ward_6
133,2014-06-13T19:34:47,,27.70935 85.33751 0 0,27.70935,85.33751,female,46+,renter,,never_studied,homemaker,Water,Power,Sewage,Garbage,Road,Security,tol_name_rudra,ward_6
134,2014-06-13T19:34:50,,27.72679 85.35607 0 0,27.72679,85.35607,female,46+,owner,built,never_studied,homemaker,Power,Garbage,Sewage,Security,Water,Road,tol_name_shanti,ward_6
135,2014-06-13T19:34:54,,27.72515 85.35419 0 0,27.72515,85.35419,female,46+,owner,builtOther,homemaker,Water,Sewage,Road,Power,Garbage,Security,tol_name_saraswati,ward_6,
136,2014-06-13T19:34:57,,27.72627 85.35841 0 0,27.72627,85.35841,female,46+,renter,,never_studied,homemaker,Power,Garbage,Water,Sewage,Road,Security,tol_name_shanti,ward_6
137,2014-06-15T16:51:59,,27.72305 85.3508 0 0,27.72305,85.3508,female,46+,owner,built,never_studied,homemaker,Water,Garbage,Power,Sewage,Security,Road,tol_name_saraswati,ward_6
138,2014-06-15T16:52:28,,27.72278 85.3508 0 0,27.72278,85.3508,female,46+,owner,,studied_some,homemaker,Water,Power,Garbage,Security,Sewage,Road,tol_name_saraswati,ward_6
139,2014-06-15T16:26:23,,27.72309 85.35074 0 0,27.72309,85.35074,female,46+,owner,built,studied_some,homemaker,Water,Power,Garbage,Sewage,Road,Security,tol_name_saraswati,ward_6
140,2014-06-15T16:52:36,,27.7214 85.35384 0 0,27.7214,85.35384,female,46+,renter,,slc,homemaker,Water,Power,Garbage,Sewage,Security,Road,tol_name_shanti,ward_6
141,2014-06-14T19:38:11,,27.72357 85.35337 0 0,27.72357,85.35337,female,36+,owner,built,slc,homemaker,Water,Power,Sewage,Garbage,Road,Security,tol_name_saraswati,ward_6
142,2014-06-13T21:30:42,,28.04174 85.40905 0 0,28.72455,85.3536,female,36+,renter,,plus_two,homemaker,Water,Power,Road,Security,Sewage,Garbage,tol_name_shanti,ward_6
143,2014-06-13T21:30:43,,27.72693 85.35478 0 0,27.72693,85.35478,female,36+,renter,,studied_some,homemaker,Water,Sewage,Power,Garbage,Road,Security,tol_name_saraswati,ward_6
144,2014-06-13T21:30:45,,27.72227 85.35135 0 0,27.72227,85.35135,female,36+,renter,,slc,homemaker,NA,NA,NA,NA,NA,NA,tol_name_saraswati,ward_6
145,2014-06-13T21:30:47,,27.72583 85.35468 0 0,27.72583,85.35468,female,36+,owner,built,bachelors,homemaker,Water,Garbage,Road,Power,Sewage,Security,tol_name_saraswati,ward_6
146,2014-06-13T21:30:48,,27.72337 85.35174 0 0,27.72337,85.35174,female,36+,renter,,slc,homemaker,Power,Water,Garbage,Sewage,Road,Security,tol_name_saraswati,ward_6
147,2014-06-13T21:55:04,,27.74154 85.34292 0 0,27.72437,85.35181,female,36+,renter,,never_studied,homemaker,NA,NA,NA,NA,NA,NA,tol_name_shanti,ward_6
148,2014-06-13T21:55:06,,27.66613 85.4253 0 0,27.72399,85.3509,female,36+,renter,,slc,homemaker,Power,Water,Garbage,Sewage,Security,Road,tol_name_shanti,ward_6
149,2014-06-13T21:55:08,,27.72337 85.35174 0 0,27.72337,85.35174,female,36+,owner,built,slc,homemaker,Power,NA,Road,Sewage,Security,Garbage,tol_name_saraswati,ward_6
